id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	addition	0.3918	-0.006	2	53	89	10	2013.5
2	biomedical application	-0.6703	0.2099	3	32	41	4	2018.75
3	blend	1.1178	0.087	2	24	48	6	2009
4	butylene	-0.7447	-0.2582	1	23	36	8	2019
5	butylene succinate	-0.8649	-0.2252	1	26	47	13	2018.1538
6	cashew nut shell liquid	1.5442	0.0248	2	17	38	3	2006.6667
7	cnsl	1.5545	-0.0147	2	17	38	3	2006.6667
8	comparison	-0.9137	-0.2946	1	16	19	3	2017.6667
9	concentration	0.2089	0.3114	3	28	29	5	2015.8
10	conductivity	0.3047	0.0381	5	25	35	6	2015.1667
11	controlled release	-0.7201	-0.3022	1	12	14	3	2020
12	copolymer	0.6408	-0.0873	2	37	66	8	2014.125
13	development	-0.5112	0.4907	3	14	15	3	2020.3333
14	differential scanning calorimetry	-0.6579	0.2616	3	21	24	3	2020.3333
15	dioctyl phthalate	1.5526	0.0428	2	17	38	3	2006.6667
16	dop	1.5664	0.0036	2	17	38	3	2006.6667
17	drug delivery system	-0.84	-0.1774	1	18	27	5	2019.6
18	effect	0.6439	-0.1341	2	36	61	9	2015.4444
19	electrical property	1.4935	0.0231	2	17	32	3	2006.6667
20	electrical resistivity	1.3419	-0.0242	2	20	33	3	2009
21	eng	0.217	-0.2064	4	24	31	4	2015.5
22	environment	-0.2922	-0.3063	1	16	20	2	2020.5
23	form	-0.2427	0.2965	5	20	22	3	2014
24	formulation	0.0674	-0.0857	1	12	12	3	2020
25	geopolymers	-0.1016	0.0853	5	5	5	3	2021
26	influence	1.0033	-0.065	2	28	51	7	2011.8571
27	insertion	-0.3627	-0.1865	1	25	33	4	2019.25
28	iron oxide	-0.5802	0.5311	3	19	32	3	2018
29	lactic acid	-0.0402	-0.224	4	18	20	4	2016.75
30	literature	-0.5905	-0.091	1	20	23	3	2020
31	maghemite	-0.2241	-0.2162	4	22	28	3	2016.6667
32	magnetic composite	-0.6069	-0.2722	1	25	34	4	2019
33	magnetic nanocomposite	-0.8651	0.0876	1	24	35	5	2017.6
34	magnetite	-0.989	-0.2211	1	18	21	3	2019
35	matrix	-0.4632	0.0429	1	40	68	9	2017.2222
36	mixture	1.2943	-0.0215	2	19	29	3	2011
37	nanocomposite	-0.3306	0.2403	3	36	52	8	2016.5
38	oil	-0.6831	-0.2192	1	33	57	6	2018.3333
39	oleic acid	-0.5692	0.5268	3	19	32	3	2018
40	order	-0.4881	-0.1767	1	19	25	3	2018.3333
41	pani	0.8665	0.0571	2	25	38	6	2010.5
42	panidbsa	1.4105	0.0126	2	19	39	4	2007
43	paper	-0.4036	-0.2912	4	11	13	3	2019
44	parameter	0.1787	-0.2329	4	19	21	4	2016.5
45	pbs	-0.8459	-0.23	1	26	55	8	2019.5
46	plasticizer	1.5439	0.001	2	17	38	3	2006.6667
47	plga	0.2506	-0.1176	4	11	12	3	2016
48	polyaniline	0.8651	-0.0249	2	31	58	9	2012.5556
49	polym	0.3382	-0.1784	4	15	19	3	2013.6667
50	polymerization	-0.3596	0.312	3	27	45	7	2014.4286
51	production	-0.3387	-0.133	1	38	55	10	2017.6
52	raman spectroscopy	-0.3399	0.5004	3	20	27	3	2015
53	reduction	-0.4415	-0.2856	1	15	17	3	2019.6667
54	renewable source	-0.9322	-0.2928	1	18	27	4	2018.5
55	ricinoleic acid	-0.9767	-0.0649	1	16	22	3	2017.3333
56	role	0.0268	0.3608	3	16	22	5	2015.8
57	sbs	1.5658	0.0261	2	17	38	3	2006.6667
58	sci	0.2186	-0.2156	4	24	31	4	2015.5
59	small angle x ray scattering	-0.2242	-0.2256	4	22	28	3	2016.6667
60	superparamagnetic behavior	-0.6269	0.4217	3	25	42	4	2017
61	superparamagnetic nanoparticle	-0.5632	0.5369	3	19	32	3	2018
62	tga	-0.6971	-0.2459	1	23	35	5	2017.8
63	thermal stability	-0.7642	0.1313	1	27	32	4	2014.75
64	thermogravimetric analysis	-0.6684	0.0599	3	29	41	5	2019.4
65	use	-0.5944	-0.1908	1	42	92	13	2019.1538
66	vinyl pivalate	-0.5603	0.4978	3	19	26	3	2018.6667
67	vitro	-0.6227	0.3604	3	17	17	3	2021
68	waxs	1.1037	-0.0368	2	10	16	3	2009
